lm,lp,rm,rp,lv,rv,std,electrostatic
45.062,45.062,24.938,34.938,76800.0,51200.0,3.3759368921529918,False
44.619,44.619,25.381,35.381,76800.0,51200.0,3.016112719368415,False
44.508,44.508,25.492,35.492,76800.0,51200.0,2.790781546644965,False
36.96,36.96,33.04,43.04,64000.0,64000.0,3.296685649640422,False
36.731,36.731,33.269,43.269,64000.0,64000.0,3.4141317044448205,False
37.029333333333334,37.029333333333334,32.970666666666666,42.970666666666666,64000.0,64000.0,3.3964928477276866,False
51.904,51.904,18.096,28.096,89600.0,38400.0,3.361157353876047,False
51.868,51.868,18.132,28.132,89600.0,38400.0,3.135667139287652,False
52.35,52.35,17.65,27.65,89600.0,38400.0,2.9323311051915075,False
53.39,53.39,16.61,26.61,89600.0,38400.0,3.27832194721311,False
53.195,53.195,16.805,26.805,89600.0,38400.0,3.4448282746519947,False
53.071333333333335,53.071333333333335,16.92866666666667,26.92866666666667,89600.0,38400.0,3.0997823562296896,False
51.526,51.526,18.474,28.474,89600.0,38400.0,4.018160677531564,False
51.824,51.824,18.176,28.176,89600.0,38400.0,3.2747133840609237,False
52.056666666666665,52.056666666666665,17.94333333333333,27.94333333333333,89600.0,38400.0,2.951032805414851,False
