step,ΔE,ΔS,left,right,E
0,-150.98570440501493,4.0796570355926915,52,48,-142.13059910588785
1,-1.181812573306928,-4.0796570355926915,52,48,-142.13059910588785
2,4.281564485734378,3.920955735861225,52,48,-142.13059910588785
3,8.476856639547037,3.920955735861225,52,48,-142.13059910588785
4,12.086948872749417,3.920955735861225,52,48,-142.13059910588785
5,-0.9869985145295175,-4.0796570355926915,52,48,-142.13059910588785
6,1.0331522683217997,3.920955735861225,54,46,-141.09744683756605
7,-4.781350881646858,-3.920955735861225,52,48,-145.8787977192129
8,4.509789944410699,3.920955735861225,52,48,-145.8787977192129
9,10.420778072469261,3.920955735861225,52,48,-145.8787977192129
10,1.5060691807452713,3.920955735861225,54,46,-144.37272853846764
11,5.16588440620535,3.7615020936514663,54,46,-144.37272853846764
12,3.1130250558133525,3.7615020936514663,56,44,-141.2597034826543
13,4.39293151639356,3.600778554590526,56,44,-141.2597034826543
14,-0.2995398931782063,-3.7615020936514667,56,44,-141.2597034826543
15,-0.8907536781409249,-3.7615020936514667,56,44,-141.2597034826543
16,-0.23330312484770843,-3.7615020936514667,56,44,-141.2597034826543
17,5.744978727729915,3.600778554590526,56,44,-141.2597034826543
18,-1.2072293076464575,3.600778554590526,58,42,-142.46693279030075
19,7.325929097730125,-3.600778554590526,58,42,-142.46693279030075
20,10.4410222720158,3.4382427622195277,58,42,-142.46693279030075
21,3.763481446242338,-3.600778554590526,58,42,-142.46693279030075
22,7.178629949701872,3.4382427622195277,58,42,-142.46693279030075
23,2.5673801200535706,-3.600778554590526,58,42,-142.46693279030075
24,-1.2615238550922356,-3.600778554590526,58,42,-142.46693279030075
25,0.5517009103289752,3.4382427622195277,60,40,-141.91523187997177
26,1.4383695036785014,-3.4382427622195277,60,40,-141.91523187997177
27,6.9726263105742134,-3.4382427622195277,60,40,-141.91523187997177
28,5.367653048367714,-3.4382427622195277,60,40,-141.91523187997177
29,8.985738620176022,3.273315934384852,60,40,-141.91523187997177
30,5.447419205723492,-3.4382427622195277,60,40,-141.91523187997177
31,8.45927727882156,-3.4382427622195277,60,40,-141.91523187997177
32,9.442663376566259,3.273315934384852,60,40,-141.91523187997177
33,1.2568795968975337,-3.4382427622195277,60,40,-141.91523187997177
34,-0.34774500956905285,-3.4382427622195277,60,40,-141.91523187997177
35,1.1048711092217616,-3.4382427622195277,60,40,-141.91523187997177
36,2.3338612033887784,-3.4382427622195277,60,40,-141.91523187997177
37,2.8285806927952137,3.273315934384852,62,38,-139.08665118717656
38,1.1024139434923939,-3.273315934384852,62,38,-139.08665118717656
39,3.615469126095121,3.1053693459790774,64,36,-135.47118206108144
40,12.370258140406037,2.933708071383133,64,36,-135.47118206108144
41,3.9495347150919713,-3.1053693459790774,64,36,-135.47118206108144
42,6.92614804503728,-3.1053693459790774,64,36,-135.47118206108144
43,7.359453715501331,-3.1053693459790774,64,36,-135.47118206108144
